Page,specific_name,name_fixed,lang_domain,access_type,access_origin,language,domain
黃湘婷_zh.wikipedia.org_mobile-web_all-agents,黃湘婷,黃湘婷,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Quality_Assurance/Browser_testing_www.mediawiki.org_desktop_all-agents,Quality_Assurance/Browser_testing,Quality_Assurance/Browser_testing,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
Captain_America_fr.wikipedia.org_all-access_all-agents,Captain_America,Captain_America,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
26._Januar_de.wikipedia.org_desktop_all-agents,26._Januar,26._Januar,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
シュレーディンガーの猫_ja.wikipedia.org_mobile-web_all-agents,シュレーディンガーの猫,シュレーディンガーの猫,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Help:Searching/ne_www.mediawiki.org_mobile-web_all-agents,Help:Searching/ne,Help:Searching/ne,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
中野信子_ja.wikipedia.org_all-access_all-agents,中野信子,中野信子,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
UFC_Fight_Night:_Almeida_vs._Garbrandt_en.wikipedia.org_all-access_spider,UFC_Fight_Night:_Almeida_vs._Garbrandt,UFC_Fight_Night:_Almeida_vs._Garbrandt,en.wikipedia.org,all-access,spider,en,wikipedia.org
"Länderübersicht_Steckertypen,_Netzspannungen_und_-frequenzen_de.wikipedia.org_all-access_spider","Länderübersicht_Steckertypen,_Netzspannungen_und_-frequenzen","Länderübersicht_Steckertypen,_Netzspannungen_und_-frequenzen",de.wikipedia.org,all-access,spider,de,wikipedia.org
File:Portal.svg_commons.wikimedia.org_all-access_all-agents,File:Portal.svg,File:Portal.svg,commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
Mia_Khalifa_de.wikipedia.org_mobile-web_all-agents,Mia_Khalifa,Mia_Khalifa,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Estelle_Lefébure_fr.wikipedia.org_mobile-web_all-agents,Estelle_Lefébure,Estelle_Lefébure,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
File:Heckert_GNU_white.svg_commons.wikimedia.org_mobile-web_all-agents,File:Heckert_GNU_white.svg,File:Heckert_GNU_white.svg,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
沈震軒_zh.wikipedia.org_mobile-web_all-agents,沈震軒,沈震軒,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
California_(Blink-182_album)_en.wikipedia.org_all-access_all-agents,California_(Blink-182_album),California_(Blink-182_album),en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Saison_5_de_Grimm_fr.wikipedia.org_all-access_spider,Saison_5_de_Grimm,Saison_5_de_Grimm,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
File:Angel_and_the_Badman_1947_John_Wayne.ogv_commons.wikimedia.org_mobile-web_all-agents,File:Angel_and_the_Badman_1947_John_Wayne.ogv,File:Angel_and_the_Badman_1947_John_Wayne.ogv,commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
Karim_Benzema_fr.wikipedia.org_all-access_spider,Karim_Benzema,Karim_Benzema,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
旗木卡卡西_zh.wikipedia.org_mobile-web_all-agents,旗木卡卡西,旗木卡卡西,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Lucas_Ocampos_fr.wikipedia.org_desktop_all-agents,Lucas_Ocampos,Lucas_Ocampos,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Israel_en.wikipedia.org_desktop_all-agents,Israel,Israel,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
"Дормер,_Натали_ru.wikipedia.org_all-access_spider","Дормер,_Натали","Дормер,_Натали",ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Herpes_zóster_es.wikipedia.org_all-access_all-agents,Herpes_zóster,Herpes_zóster,es.wikipedia.org,all-access,all-agents,es,wikipedia.org
Тихоходки_ru.wikipedia.org_all-access_all-agents,Тихоходки,Тихоходки,ru.wikipedia.org,all-access,all-agents,ru,wikipedia.org
Apartheid_es.wikipedia.org_mobile-web_all-agents,Apartheid,Apartheid,es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
Help:RevisionDelete_www.mediawiki.org_mobile-web_all-agents,Help:RevisionDelete,Help:RevisionDelete,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
Avantasia_de.wikipedia.org_mobile-web_all-agents,Avantasia,Avantasia,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
A_Cure_for_Life_fr.wikipedia.org_mobile-web_all-agents,A_Cure_for_Life,A_Cure_for_Life,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
Pisces_es.wikipedia.org_desktop_all-agents,Pisces,Pisces,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
West_Ham_United_F.C._en.wikipedia.org_all-access_all-agents,West_Ham_United_F.C.,West_Ham_United_F.C.,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
François_Cluzet_fr.wikipedia.org_mobile-web_all-agents,François_Cluzet,François_Cluzet,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
File:Zhongxiao_West_Road2.JPG_zh.wikipedia.org_all-access_spider,File:Zhongxiao_West_Road2.JPG,File:Zhongxiao_West_Road2.JPG,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
東條英機_ja.wikipedia.org_mobile-web_all-agents,東條英機,東條英機,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
小林麻耶_ja.wikipedia.org_all-access_all-agents,小林麻耶,小林麻耶,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
特別:フィード項目/featured/20160708000000/ja_ja.wikipedia.org_desktop_all-agents,特別:フィード項目/featured/20160708000000/ja,特別:フィード項目/featured/20160708000000/ja,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Colin_Firth_fr.wikipedia.org_desktop_all-agents,Colin_Firth,Colin_Firth,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
使徒行者2_zh.wikipedia.org_all-access_spider,使徒行者2,使徒行者2,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
Jomfru_Ane_Gade_en.wikipedia.org_all-access_all-agents,Jomfru_Ane_Gade,Jomfru_Ane_Gade,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
八三夭_zh.wikipedia.org_desktop_all-agents,八三夭,八三夭,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
杜拜_zh.wikipedia.org_all-access_spider,杜拜,杜拜,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
Jason_Bourne_(série_de_films)_fr.wikipedia.org_all-access_all-agents,Jason_Bourne_(série_de_films),Jason_Bourne_(série_de_films),fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Pansexualité_fr.wikipedia.org_all-access_spider,Pansexualité,Pansexualité,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
ファイナルファンタジーシリーズ_ja.wikipedia.org_mobile-web_all-agents,ファイナルファンタジーシリーズ,ファイナルファンタジーシリーズ,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Capesterre-de-Marie-Galante_en.wikipedia.org_all-access_all-agents,Capesterre-de-Marie-Galante,Capesterre-de-Marie-Galante,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Topic:Qzr0tbqoryjzrejp_www.mediawiki.org_all-access_spider,Topic:Qzr0tbqoryjzrejp,Topic:Qzr0tbqoryjzrejp,www.mediawiki.org,all-access,spider,www,mediawiki.org
戴資穎_zh.wikipedia.org_all-access_spider,戴資穎,戴資穎,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
杨幂_zh.wikipedia.org_desktop_all-agents,杨幂,杨幂,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
桐谷美玲_ja.wikipedia.org_all-access_all-agents,桐谷美玲,桐谷美玲,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Гравитационная_волна_ru.wikipedia.org_all-access_spider,Гравитационная_волна,Гравитационная_волна,ru.wikipedia.org,all-access,spider,ru,wikipedia.org
VisualEditor/Feedback_www.mediawiki.org_desktop_all-agents,VisualEditor/Feedback,VisualEditor/Feedback,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
EGOIST_ja.wikipedia.org_all-access_all-agents,EGOIST,EGOIST,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Der_große_Gatsby_de.wikipedia.org_desktop_all-agents,Der_große_Gatsby,Der_große_Gatsby,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
2013年Running_Man節目列表_zh.wikipedia.org_all-access_all-agents,2013年Running_Man節目列表,2013年Running_Man節目列表,zh.wikipedia.org,all-access,all-agents,zh,wikipedia.org
ロドリゴ・ドゥテルテ_ja.wikipedia.org_all-access_spider,ロドリゴ・ドゥテルテ,ロドリゴ・ドゥテルテ,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Steve_Comisar_en.wikipedia.org_all-access_all-agents,Steve_Comisar,Steve_Comisar,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Category:All_skins_www.mediawiki.org_desktop_all-agents,Category:All_skins,Category:All_skins,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
Saroo_Brierley_en.wikipedia.org_all-access_spider,Saroo_Brierley,Saroo_Brierley,en.wikipedia.org,all-access,spider,en,wikipedia.org
Theresa_May_en.wikipedia.org_mobile-web_all-agents,Theresa_May,Theresa_May,en.wikipedia.org,mobile-web,all-agents,en,wikipedia.org
岡田准一_ja.wikipedia.org_all-access_all-agents,岡田准一,岡田准一,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Michel_Butor_fr.wikipedia.org_all-access_spider,Michel_Butor,Michel_Butor,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
Kim_Jong-nam_en.wikipedia.org_all-access_all-agents,Kim_Jong-nam,Kim_Jong-nam,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Bacon_Explosion_de.wikipedia.org_all-access_all-agents,Bacon_Explosion,Bacon_Explosion,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
"Special:Contributions/I.Sáček,_senior_commons.wikimedia.org_all-access_spider","Special:Contributions/I.Sáček,_senior","Special:Contributions/I.Sáček,_senior",commons.wikimedia.org,all-access,spider,commons,wikimedia.org
九重部屋_ja.wikipedia.org_desktop_all-agents,九重部屋,九重部屋,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Jean-Claude_Van_Damme_de.wikipedia.org_mobile-web_all-agents,Jean-Claude_Van_Damme,Jean-Claude_Van_Damme,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Category:Sex_positions_commons.wikimedia.org_all-access_all-agents,Category:Sex_positions,Category:Sex_positions,commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
赤道_(電影)_zh.wikipedia.org_all-access_spider,赤道_(電影),赤道_(電影),zh.wikipedia.org,all-access,spider,zh,wikipedia.org
Muv-Luv_Alternative_zh.wikipedia.org_desktop_all-agents,Muv-Luv_Alternative,Muv-Luv_Alternative,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Manchester_United_F.C._en.wikipedia.org_desktop_all-agents,Manchester_United_F.C.,Manchester_United_F.C.,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
Vincent_Taylor_(American_football)_en.wikipedia.org_all-access_all-agents,Vincent_Taylor_(American_football),Vincent_Taylor_(American_football),en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Koh-Lanta_fr.wikipedia.org_desktop_all-agents,Koh-Lanta,Koh-Lanta,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
KANA-BOON_ja.wikipedia.org_all-access_all-agents,KANA-BOON,KANA-BOON,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Челябинск_ru.wikipedia.org_desktop_all-agents,Челябинск,Челябинск,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
Commons:First_steps_commons.wikimedia.org_all-access_spider,Commons:First_steps,Commons:First_steps,commons.wikimedia.org,all-access,spider,commons,wikimedia.org
Liste_der_olympischen_Medaillengewinner_aus_Deutschland_de.wikipedia.org_desktop_all-agents,Liste_der_olympischen_Medaillengewinner_aus_Deutschland,Liste_der_olympischen_Medaillengewinner_aus_Deutschland,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
François_de_Rugy_fr.wikipedia.org_all-access_spider,François_de_Rugy,François_de_Rugy,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
東方報業集團_zh.wikipedia.org_desktop_all-agents,東方報業集團,東方報業集團,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
"Скотт,_Эндрю_ru.wikipedia.org_mobile-web_all-agents","Скотт,_Эндрю","Скотт,_Эндрю",ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
Jack_London_fr.wikipedia.org_all-access_all-agents,Jack_London,Jack_London,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Lisa-Marie_Koroll_de.wikipedia.org_all-access_spider,Lisa-Marie_Koroll,Lisa-Marie_Koroll,de.wikipedia.org,all-access,spider,de,wikipedia.org
Statistiques_et_records_du_championnat_de_France_de_football_fr.wikipedia.org_all-access_spider,Statistiques_et_records_du_championnat_de_France_de_football,Statistiques_et_records_du_championnat_de_France_de_football,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
"File:Fourth_of_July_fireworks_behind_the_Washington_Monument,_1986.jpg_commons.wikimedia.org_all-access_all-agents","File:Fourth_of_July_fireworks_behind_the_Washington_Monument,_1986.jpg","File:Fourth_of_July_fireworks_behind_the_Washington_Monument,_1986.jpg",commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
Évelyne_Dhéliat_fr.wikipedia.org_all-access_spider,Évelyne_Dhéliat,Évelyne_Dhéliat,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
Zaha_Hadid_de.wikipedia.org_all-access_all-agents,Zaha_Hadid,Zaha_Hadid,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
Arsinoe_(Cilicia)_en.wikipedia.org_all-access_all-agents,Arsinoe_(Cilicia),Arsinoe_(Cilicia),en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Baron_noir_fr.wikipedia.org_all-access_spider,Baron_noir,Baron_noir,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
Saison_6_de_The_Walking_Dead_fr.wikipedia.org_all-access_spider,Saison_6_de_The_Walking_Dead,Saison_6_de_The_Walking_Dead,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
John_McEnroe_fr.wikipedia.org_all-access_spider,John_McEnroe,John_McEnroe,fr.wikipedia.org,all-access,spider,fr,wikipedia.org
张杰_(中国大陆歌手)_zh.wikipedia.org_mobile-web_all-agents,张杰_(中国大陆歌手),张杰_(中国大陆歌手),zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Список_эпизодов_телесериала_«Настоящая_кровь»_ru.wikipedia.org_desktop_all-agents,Список_эпизодов_телесериала_«Настоящая_кровь»,Список_эпизодов_телесериала_«Настоящая_кровь»,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
American_Horror_Story:_Roanoke_es.wikipedia.org_desktop_all-agents,American_Horror_Story:_Roanoke,American_Horror_Story:_Roanoke,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
江欣燕_zh.wikipedia.org_mobile-web_all-agents,江欣燕,江欣燕,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
Ben-Hur_(película_de_1959)_es.wikipedia.org_mobile-web_all-agents,Ben-Hur_(película_de_1959),Ben-Hur_(película_de_1959),es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
User:File_Upload_Bot_(Magnus_Manske)_commons.wikimedia.org_desktop_all-agents,User:File_Upload_Bot_(Magnus_Manske),User:File_Upload_Bot_(Magnus_Manske),commons.wikimedia.org,desktop,all-agents,commons,wikimedia.org
Liberace_de.wikipedia.org_all-access_spider,Liberace,Liberace,de.wikipedia.org,all-access,spider,de,wikipedia.org
Christopher_Nolan_fr.wikipedia.org_all-access_all-agents,Christopher_Nolan,Christopher_Nolan,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
神的禮物－14天_zh.wikipedia.org_mobile-web_all-agents,神的禮物－14天,神的禮物-14天,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
潤娥_zh.wikipedia.org_desktop_all-agents,潤娥,潤娥,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Engländerunglück_de.wikipedia.org_all-access_all-agents,Engländerunglück,Engländerunglück,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
Anne_Hathaway_en.wikipedia.org_desktop_all-agents,Anne_Hathaway,Anne_Hathaway,en.wikipedia.org,desktop,all-agents,en,wikipedia.org
Росомаха_ru.wikipedia.org_desktop_all-agents,Росомаха,Росомаха,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
Category:Pornographic_shows_commons.wikimedia.org_all-access_all-agents,Category:Pornographic_shows,Category:Pornographic_shows,commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
François_Dupeyron_fr.wikipedia.org_desktop_all-agents,François_Dupeyron,François_Dupeyron,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
立浪和義_ja.wikipedia.org_desktop_all-agents,立浪和義,立浪和義,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
刘烨_(演员)_zh.wikipedia.org_desktop_all-agents,刘烨_(演员),刘烨_(演员),zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Developer_hub/ca_www.mediawiki.org_mobile-web_all-agents,Developer_hub/ca,Developer_hub/ca,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
Pokémon_en.wikipedia.org_all-access_all-agents,Pokémon,Pokémon,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
命中注定我愛你_(台灣電視劇)_zh.wikipedia.org_mobile-web_all-agents,命中注定我愛你_(台灣電視劇),命中注定我愛你_(台灣電視劇),zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
田知本愛_ja.wikipedia.org_mobile-web_all-agents,田知本愛,田知本愛,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
キングオブコメディ_ja.wikipedia.org_desktop_all-agents,キングオブコメディ,キングオブコメディ,ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Serge_Kampf_fr.wikipedia.org_all-access_all-agents,Serge_Kampf,Serge_Kampf,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
MediaWiki:Gadget-UTCLiveClock.js_www.mediawiki.org_all-access_spider,MediaWiki:Gadget-UTCLiveClock.js,MediaWiki:Gadget-UTCLiveClock.js,www.mediawiki.org,all-access,spider,www,mediawiki.org
大顯神威_zh.wikipedia.org_all-access_spider,大顯神威,大顯神威,zh.wikipedia.org,all-access,spider,zh,wikipedia.org
Black_Mirror_(série_télévisée)_fr.wikipedia.org_all-access_all-agents,Black_Mirror_(série_télévisée),Black_Mirror_(série_télévisée),fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
List_of_Pokémon_films_en.wikipedia.org_all-access_all-agents,List_of_Pokémon_films,List_of_Pokémon_films,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
緋紅女巫_zh.wikipedia.org_mobile-web_all-agents,緋紅女巫,緋紅女巫,zh.wikipedia.org,mobile-web,all-agents,zh,wikipedia.org
"File:State_of_Washington_vs._Donald_J._Trump,_et_al.webm_commons.wikimedia.org_mobile-web_all-agents","File:State_of_Washington_vs._Donald_J._Trump,_et_al.webm","File:State_of_Washington_vs._Donald_J._Trump,_et_al.webm",commons.wikimedia.org,mobile-web,all-agents,commons,wikimedia.org
Topic:T75cloz7981b8i92_www.mediawiki.org_mobile-web_all-agents,Topic:T75cloz7981b8i92,Topic:T75cloz7981b8i92,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
Help:CirrusSearch/fi_www.mediawiki.org_mobile-web_all-agents,Help:CirrusSearch/fi,Help:CirrusSearch/fi,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
動物戰隊獸王者_zh.wikipedia.org_desktop_all-agents,動物戰隊獸王者,動物戰隊獸王者,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Le_Petit_Prince_fr.wikipedia.org_desktop_all-agents,Le_Petit_Prince,Le_Petit_Prince,fr.wikipedia.org,desktop,all-agents,fr,wikipedia.org
Jan_Oblak_es.wikipedia.org_mobile-web_all-agents,Jan_Oblak,Jan_Oblak,es.wikipedia.org,mobile-web,all-agents,es,wikipedia.org
知英_ja.wikipedia.org_all-access_spider,知英,知英,ja.wikipedia.org,all-access,spider,ja,wikipedia.org
Manual:Extensions/pt-br_www.mediawiki.org_mobile-web_all-agents,Manual:Extensions/pt-br,Manual:Extensions/pt-br,www.mediawiki.org,mobile-web,all-agents,www,mediawiki.org
Category:Gay_porn_actors_commons.wikimedia.org_all-access_all-agents,Category:Gay_porn_actors,Category:Gay_porn_actors,commons.wikimedia.org,all-access,all-agents,commons,wikimedia.org
Volleyball_at_the_2016_Summer_Olympics_–_Men's_tournament_en.wikipedia.org_all-access_spider,Volleyball_at_the_2016_Summer_Olympics_–_Men's_tournament,Volleyball_at_the_2016_Summer_Olympics_–_Men's_tournament,en.wikipedia.org,all-access,spider,en,wikipedia.org
Décès_en_août_2016_fr.wikipedia.org_all-access_all-agents,Décès_en_août_2016,Décès_en_août_2016,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
オビ＝ワン・ケノービ_ja.wikipedia.org_mobile-web_all-agents,オビ＝ワン・ケノービ,オビ=ワン・ケノービ,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Sarbjit_(film)_en.wikipedia.org_all-access_spider,Sarbjit_(film),Sarbjit_(film),en.wikipedia.org,all-access,spider,en,wikipedia.org
File:Italy_provincial_location_map_2016.svg_commons.wikimedia.org_all-access_spider,File:Italy_provincial_location_map_2016.svg,File:Italy_provincial_location_map_2016.svg,commons.wikimedia.org,all-access,spider,commons,wikimedia.org
Hells_Angels_de.wikipedia.org_mobile-web_all-agents,Hells_Angels,Hells_Angels,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Sarah_Shahi_fr.wikipedia.org_mobile-web_all-agents,Sarah_Shahi,Sarah_Shahi,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
トム・クルーズ_ja.wikipedia.org_mobile-web_all-agents,トム・クルーズ,トム・クルーズ,ja.wikipedia.org,mobile-web,all-agents,ja,wikipedia.org
Stade_Vélodrome_fr.wikipedia.org_mobile-web_all-agents,Stade_Vélodrome,Stade_Vélodrome,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
賣房女子_zh.wikipedia.org_desktop_all-agents,賣房女子,賣房女子,zh.wikipedia.org,desktop,all-agents,zh,wikipedia.org
Pokémon_(série_de_jeux_vidéo)_fr.wikipedia.org_all-access_all-agents,Pokémon_(série_de_jeux_vidéo),Pokémon_(série_de_jeux_vidéo),fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Sigmar_Gabriel_de.wikipedia.org_desktop_all-agents,Sigmar_Gabriel,Sigmar_Gabriel,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Peter_Fröhlich_(Schauspieler)_de.wikipedia.org_all-access_spider,Peter_Fröhlich_(Schauspieler),Peter_Fröhlich_(Schauspieler),de.wikipedia.org,all-access,spider,de,wikipedia.org
Arménie_fr.wikipedia.org_all-access_all-agents,Arménie,Arménie,fr.wikipedia.org,all-access,all-agents,fr,wikipedia.org
Список_эпизодов_телесериала_«Шерлок»_ru.wikipedia.org_all-access_spider,Список_эпизодов_телесериала_«Шерлок»,Список_эпизодов_телесериала_«Шерлок»,ru.wikipedia.org,all-access,spider,ru,wikipedia.org
Renaissance_de.wikipedia.org_desktop_all-agents,Renaissance,Renaissance,de.wikipedia.org,desktop,all-agents,de,wikipedia.org
Schleswig-Holstein_de.wikipedia.org_all-access_spider,Schleswig-Holstein,Schleswig-Holstein,de.wikipedia.org,all-access,spider,de,wikipedia.org
希良梨_ja.wikipedia.org_all-access_all-agents,希良梨,希良梨,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
Gerrit/Advanced_usage_www.mediawiki.org_all-access_spider,Gerrit/Advanced_usage,Gerrit/Advanced_usage,www.mediawiki.org,all-access,spider,www,mediawiki.org
BitTorrent_ru.wikipedia.org_desktop_all-agents,BitTorrent,BitTorrent,ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
Test_de_Turing_fr.wikipedia.org_mobile-web_all-agents,Test_de_Turing,Test_de_Turing,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
Marathon_(sport)_fr.wikipedia.org_all-access_spider,Marathon_(sport),Marathon_(sport),fr.wikipedia.org,all-access,spider,fr,wikipedia.org
大西英男_ja.wikipedia.org_all-access_all-agents,大西英男,大西英男,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
MediaWiki/oc_www.mediawiki.org_desktop_all-agents,MediaWiki/oc,MediaWiki/oc,www.mediawiki.org,desktop,all-agents,www,mediawiki.org
Sophie_Taeuber-Arp_en.wikipedia.org_all-access_spider,Sophie_Taeuber-Arp,Sophie_Taeuber-Arp,en.wikipedia.org,all-access,spider,en,wikipedia.org
The_Counselor_de.wikipedia.org_all-access_all-agents,The_Counselor,The_Counselor,de.wikipedia.org,all-access,all-agents,de,wikipedia.org
George_Lucas_en.wikipedia.org_all-access_all-agents,George_Lucas,George_Lucas,en.wikipedia.org,all-access,all-agents,en,wikipedia.org
Philipp_Melanchthon_de.wikipedia.org_mobile-web_all-agents,Philipp_Melanchthon,Philipp_Melanchthon,de.wikipedia.org,mobile-web,all-agents,de,wikipedia.org
Olympische_Sommerspiele_2008_de.wikipedia.org_all-access_spider,Olympische_Sommerspiele_2008,Olympische_Sommerspiele_2008,de.wikipedia.org,all-access,spider,de,wikipedia.org
ドクター・ストレンジ_(映画)_ja.wikipedia.org_desktop_all-agents,ドクター・ストレンジ_(映画),ドクター・ストレンジ_(映画),ja.wikipedia.org,desktop,all-agents,ja,wikipedia.org
Estetoscopio_es.wikipedia.org_desktop_all-agents,Estetoscopio,Estetoscopio,es.wikipedia.org,desktop,all-agents,es,wikipedia.org
Григорианский_календарь_ru.wikipedia.org_mobile-web_all-agents,Григорианский_календарь,Григорианский_календарь,ru.wikipedia.org,mobile-web,all-agents,ru,wikipedia.org
Кубок_Америки_по_футболу_ru.wikipedia.org_all-access_all-agents,Кубок_Америки_по_футболу,Кубок_Америки_по_футболу,ru.wikipedia.org,all-access,all-agents,ru,wikipedia.org
"Малинин,_Александр_Николаевич_ru.wikipedia.org_desktop_all-agents","Малинин,_Александр_Николаевич","Малинин,_Александр_Николаевич",ru.wikipedia.org,desktop,all-agents,ru,wikipedia.org
UEFA_Euro_2016_squads_en.wikipedia.org_all-access_spider,UEFA_Euro_2016_squads,UEFA_Euro_2016_squads,en.wikipedia.org,all-access,spider,en,wikipedia.org
Jean_de_La_Fontaine_fr.wikipedia.org_mobile-web_all-agents,Jean_de_La_Fontaine,Jean_de_La_Fontaine,fr.wikipedia.org,mobile-web,all-agents,fr,wikipedia.org
Need_for_Speed_(Film)_de.wikipedia.org_all-access_all-agents,Need_for_Speed_(Film),Need_for_Speed_(Film),de.wikipedia.org,all-access,all-agents,de,wikipedia.org
初詣_ja.wikipedia.org_all-access_all-agents,初詣,初詣,ja.wikipedia.org,all-access,all-agents,ja,wikipedia.org
